Molecule,Docking Score,QED Score,MW score,LogP Score,SA Score,Generated Source
CC(C)C(C)C(C)N1CC(c2ccccc2N2CC(C3CC3)C3=CC=CC=C(C3)N(C(C)C(C)C(C)C)C2=O)=CC1=O,1.899999976158142,0.3001575637745246,569.8340000000003,8.311800000000009,0.42263055685740325,repairer
CC1(C)CC(=O)c2c(CC3CC3)cn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](O)CC4)c3)c2C1,-6.800000190734863,0.608856672827715,449.5950000000003,4.399200000000003,0.6984743402762416,repairer
CC1(C)CC2C(=O)C3C=CC=C3C(=O)C3C=CC=C3C(N)C(CC3CC3)CC21,-5.400000095367432,0.7859770678835667,377.5280000000002,4.159000000000003,0.4385186772800605,repairer
CC1CCC2CC(C3CC3)C(N)C3=CC=CC3C(=O)C3=CC=CC3C(=O)C2C1,-6.800000190734863,0.746346296915733,377.52800000000013,4.1590000000000025,0.4512343365428159,repairer
CC1(C)CC2CC1CC(CC1CC1)C(N)C1=CC=CC1C(=O)C1=CC=CC1C2=O,-8.199999809265137,0.7511550209292492,391.5550000000001,4.549100000000004,0.36956617020303995,repairer
O=c1ccc(-c2[nH]c(=O)ccc2-c2ccccc2C(F)(F)F)c(-c2ccccc2)[nH]1,-8.399999618530273,0.49636910584726446,408.3790000000001,5.083000000000003,0.7445054293053663,repairer
CC1=CC(=O)N(c2ccccc2)C1=CC(=O)N(c1ccccc1)c1ccc(C(F)(F)F)c(N)c1,8.899999618530273,0.39115511164535244,463.4590000000001,5.8293000000000035,0.7036837369115444,repairer
CC(=O)c1cc(C(F)(F)F)ccc1-c1nccc2c3ccc(-c4ccccc4)cc3n(C3=CC(=O)N3)c12,-1.600000023841858,0.2821008743031619,497.4760000000002,6.673100000000005,0.7083859712185037,repairer
CC1CC2C3CC4C(N)CCC(=O)C4C3CC(N)C(C)N(C)C12,-8.300000190734863,0.7115464786134327,319.493,1.6210000000000016,0.47588417838400526,repairer
CN(C)C(C1=C2C3=C1C(=c1c(=O)ccccc1=C1C=CC(=O)N21)C=N3)N(C)C,-5.400000095367432,0.6883996153533607,372.4280000000001,-0.22679999999999967,0.49946967096886485,repairer
CC(=O)c1ccc(NC2=NCC3=CC=CC3=C2C(Nc2ccc(C(=O)O)cc2)c2ccccc2)cc1,-2.4000000953674316,0.3615980967283209,475.5480000000002,6.057600000000004,0.6700890115475326,repairer
Nc1ccn(C2C=CN=C3c4ccc(cc4)NC(=O)C=CCOc4ccccc4C32)c1,-1.600000023841858,0.6275950482037406,410.47700000000015,4.298900000000003,0.46559118810474615,repairer
CC(=O)c1ccccc1-n1cnc2cccc-2c1C1C=CC=CC1=Nc1ccccc1-n1ccc(-c2cc(C)c(C)c(C)c2C(=O)C(=O)C=O)c1,13.899999618530273,0.06643536453384753,670.7690000000001,8.495660000000008,0.5677478358832253,repairer
CC1CCCc2c(c(CC3CC3)cn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(=O)C1,-7.099999904632568,0.5737324596094723,463.6220000000003,4.789300000000003,0.6566830259734547,repairer
c1ccc2cnccc2c1,-6.199999809265137,0.5311915584041306,129.16199999999998,2.2348,0.8457775248709103,repairer
CC1=CC(=O)N(c2ccccc2-c2ccccc2-c2ccccc2C(F)(F)F)C1,-6.800000190734863,0.5089852499385473,393.4080000000001,6.3323000000000045,0.752631988148065,repairer
O=C1C=CC(=CC(=O)Nc2ccc(C(F)(F)F)cc2)c2ccc(cc2)N1,-7.5,0.7893616705967963,358.319,4.235800000000002,0.6115927367223264,repairer
CC(=O)C1CCN(c2ccccc2)C1=CC1=C(c2ccccc2-c2ccccc2-n2[nH]c(=O)c3ccccc32)C(=O)N1,1.399999976158142,0.27773240425031803,552.6340000000002,5.8261000000000065,0.6329493941477191,repairer
O=c1[nH]c2ccc(cc2)n(-c2ccccc2C(F)F)c2ccccc12,-8.699999809265137,0.5511589224671763,336.34100000000007,4.9718000000000035,0.6194641263292159,repairer
CC1CCCc2c(c(C(C)C3CC3)cn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(=O)C1,-4.5,0.5223302048748347,477.64900000000034,5.350300000000005,0.6204765769765238,repairer
CC(=O)C1=C(c2ccc(C(F)(F)F)cc2)C(=O)Nc2ccc(cc2)Nc2ccc(cc2)N1,-8.0,0.4730416765256751,437.42100000000005,5.8133000000000035,0.5368633642219447,repairer
O=c1ccc2cccc(-c3ccc(Nc4ccc(C(F)F)cc4)cc3)c2[nH]1,-3.4000000953674316,0.47633732919764976,362.379,5.876300000000002,0.7752075813309908,repairer
O=C1C=CCN1c1ccccc1-c1ccccc1-c1ccccc1C(F)(F)F,-8.399999618530273,0.5512891794910676,379.38100000000003,5.942200000000003,0.7602966301491184,repairer
FC(F)C1C=CC=C1C=C1C=NC2=CC=CC2N1,-7.800000190734863,0.7956350248492148,246.26,2.7441000000000004,0.48077409432128115,repairer
