smiles,rdkit3d_docking_score,sdf_docking_score,qed_score,sascore,logp,mw
CCC1(O)CC(O)C(O)CCC1C,-6.0,-8.2,0.5299721804790465,0.5937125764349447,0.6692999999999998,188.267
CC1CC(O)C(O)C1C,-5.7,-6.4,0.4975349736984386,0.6064646301151996,0.3840999999999999,130.18699999999995
CC(CO)C(C)C1CCC(O)C2C(O)C(O)C(O)CCC12,11.5,0.6,0.5100646937464446,0.5286951434512885,0.1306999999999993,302.41100000000023
CC(=O)C1OC2C3CCCC(CCCCC2OC1O)C3,33.8,15.1,0.8022563379921926,0.4595956847053575,2.4268,282.37999999999994
O=C(O)C(CO)C(O)CCCCC1CCCC1,-3.8,-4.3,0.5688074657856663,0.6911037212770189,1.791,244.331
OC1=C2CC(O)C(O)C(O)=C2CCC1,-4.3,-7.7,0.4662987523050822,0.5764785531254726,0.9200000000000002,198.218
CC(CCCCC1CCCC1(C)C1CC(O)C(=O)C=CC1(C)O)OCCC(O)C1CCCOC1,60.9,64.0,0.3838179756519226,0.5040616404628606,4.193000000000003,480.6860000000004
OC1C=C2C(CC1)C(O)CC(O)C2C1C=CCCC1,8.0,10.4,0.6327078388105196,0.5323094795942922,1.7816999999999998,264.36499999999995
CCCC1C(O)CC(O)C(CCO)C1O,-5.1,-7.2,0.5304681215364812,0.5805272072972577,-0.1123000000000001,218.293
OC1=CC(C2=CC=CC=CC2)C(O)=CC1,-1.4,-2.8,0.6842744689545835,0.5517730894355437,3.332600000000002,202.253
OC1CCC2CC3C(O)C(O)C(O)C3C2(O)C1,0.8,-0.8,0.3610766378545105,0.5265458170975899,-1.3891000000000004,244.287
OC1CCCCCC1=CC=COCC1OC2OCC1CC(O)C(O)C2O,28.7,19.7,0.4241094971325808,0.4387611286045841,0.6121999999999987,370.4420000000001
CC1CCC2CC(=O)C(O)C2C1O,-3.6,-3.1,0.5706050939852819,0.576701368352591,0.3432999999999999,184.235
CCCCOCC1CC2C(O)C(C)C(C(=O)O)CCC1C2O,7.1,9.2,0.6519488863724482,0.5017752615827942,1.9079,314.422
