Molecule,Docking Score,QED Score,MW score,LogP Score,SA Score,Generated Source
CC1C(C)C(C)C23CC4C=CC2=C(CC4)CC3C1C,-8.199999809265137,0.5573688004026791,256.43299999999994,5.217200000000005,0.3376944601337145,repairer
CC1=C2CCC34CCCCN3CC3OC(N)C5CCC6(O)CC=C1C(N6)C2C4N35,-10.699999809265137,0.5731243660536601,398.5510000000001,1.4158000000000013,0.2627231307145196,repairer
CC(=O)C1CCC2(C)C3CCC4(C3)C(C)C(C)C(C)C(C)C4(C)C(C)C(C)C(C)C2(C)C1,-2.9000000953674316,0.39678827497377595,442.7720000000002,8.660800000000005,0.3099836394994627,repairer
CCC1(C)C2CCC3C4=C5C(C=C(O)C(O)C5CC(C42)C2C(C)C4=C(CCC4)C21)C3C1CCCC=C1C,5.800000190734863,0.3754790812759339,500.7670000000004,8.162800000000008,0.4015516764221424,repairer
CCC1(C)C2CCC3C4=C5C(C=C(O)C(O)C5C(C42)C2C(C)C4=C(CCC4)C21)C3C1CCCC=C1C,-1.2999999523162842,0.39137457654449687,486.7400000000004,7.772700000000009,0.39968402710003137,repairer
COC1CCC=C2C1=C1CCCCC=C=C1C2C,-7.300000190734863,0.6220517693810091,242.36199999999994,4.323400000000004,0.5237001002384412,repairer
CC(C)C1CCC2=C(C=CC=CC2)C2CCCC2C(C)C2CC3C=CC=CCC3N2C1C(=O)O,-3.299999952316284,0.4837934928911929,461.69000000000017,6.945900000000008,0.4265768159035847,repairer
C1CCC2(CC1)C1CCCC3CCC4CC(C5CCCCC5C5CCNCC5)C5CCC2C(=C31)C45,-7.5,0.39447565198156703,475.8050000000004,8.541700000000006,0.468054682233527,repairer
C1CCC(C2CCCCC(C3CC4CCC5CCCC6C5=C5C4C3CCC5C63CCCCC3)C2C2CCNCC2)CC1,31.799999237060547,0.2623288139022184,571.9780000000002,10.738199999999994,0.44752537724759095,repairer
C1CCC2CC(C1)CC1C3=C2CCC3C2CCCC12,-7.900000095367432,0.5131905624152654,256.43299999999994,5.339300000000006,0.5044908146358071,repairer
