init_top30,bo_top30
-7.5,-7.300000190734863
-7.199999809265137,-7.300000190734863
-7.099999904632568,-7.199999809265137
-7.099999904632568,-7.0
-6.900000095367432,-6.800000190734863
-6.900000095367432,-6.800000190734863
-6.900000095367432,-6.800000190734863
-6.5,-6.800000190734863
-6.400000095367432,-6.699999809265137
-6.400000095367432,-6.699999809265137
-6.400000095367432,-6.699999809265137
-6.099999904632568,-6.699999809265137
-6.099999904632568,-6.400000095367432
-5.900000095367432,-6.400000095367432
-5.699999809265137,-6.400000095367432
-5.599999904632568,-6.400000095367432
-5.599999904632568,-6.400000095367432
-5.5,-6.300000190734863
-5.400000095367432,-6.300000190734863
-5.300000190734863,-6.300000190734863
-5.199999809265137,-6.300000190734863
-5.099999904632568,-6.199999809265137
-5.0,-6.199999809265137
-5.0,-6.199999809265137
-4.900000095367432,-6.099999904632568
-4.900000095367432,-6.099999904632568
-4.900000095367432,-6.099999904632568
-4.900000095367432,-6.0
-4.800000190734863,-6.0
-4.800000190734863,-6.0
