Molecule,Docking Score,QED Score,MW score,LogP Score,SA Score,Generated Source
NC1=C2C=C(C(=O)NCc3ccc(S(=O)(=O)c4ccccc4)cc3)N=C2C=C1,-6.400000095367432,0.8161163172184854,391.45200000000006,2.2567000000000004,0.7148168609183492,repairer
O=C(NCc1ccccc1)C1=CC2=C(C(=O)Nc3ccc(S(=O)(=O)c4ccccc4)cc3)N=CC2=C1,-5.300000190734863,0.5173339914600772,495.5600000000002,3.9792000000000023,0.7192331647933148,repairer
OC[C@@H]1O[C@@H](O)[C@@H](O)[C@@H](O)O[C@@H]1O[C@H]1O[C@@H]2OO[C@@H]2[C@@H](O)[C@H]1O,-6.099999904632568,0.27118714380211045,342.25300000000004,-4.530899999999995,0.47418307948290633,repairer
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,-6.300000190734863,0.24658299225399324,328.27000000000004,-5.439699999999993,0.5589358123840846,repairer
OC1[C@H](O[C@H]2O[C@H](O)O[C@H]3O[C@H](O)[C@H]3O[C@H]2O)O[C@@H](O)[C@@H](O)[C@@H](O)[C@H]1O,-6.199999809265137,0.22095232159669942,388.2780000000001,-5.851599999999993,0.45759623523972026,repairer
O[C@@H]1[C@@H](O[C@H]2O[C@H](O)[C@H]2O[C@H]2O[C@H](O)[C@H]2O)[C@H](OC2COC2)O[C@@H]1O,-5.0,0.30811112185428413,368.29100000000017,-4.081899999999993,0.5002724778353441,repairer
O[C@@H]1[C@@H](O)[C@@H](O[C@H]2COC[C@H](O)[C@H](O)[C@H](O)[C@H](O)O2)O[C@H]2OO[C@H]21,-6.5,0.2618234961737144,356.2800000000001,-4.488399999999992,0.4366040686899514,repairer
O[C@@H]1[C@H](O)O[C@@H](O)[C@@H](O[C@H]2O[C@@H]3OO[C@@H]3[C@@H](O)[C@H]2O)O[C@@H]1O,-6.300000190734863,0.2678043215373878,328.226,-4.573399999999995,0.46003975402864705,repairer
O[C@H]1O[C@H](O[C@@H]2O[C@@H](O)[C@@H](O)O[C@@H]2OC2COC2)[C@H](O)O1,-5.099999904632568,0.4142628670981463,312.22700000000003,-3.2785999999999986,0.4616398625695696,repairer
O[C@@H]1O[C@H]2O[C@H](O)[C@H]2O[C@@H](O)[C@@H](O[C@H]2C[C@H](O)[C@H](O)[C@H](O)[C@H](O)O2)O1,-6.599999904632568,0.24384137976207246,372.27900000000005,-4.822399999999993,0.4463418848481397,repairer
OC1C([C@@H](O)O[C@H]2O[C@H](O)O[C@H]3O[C@H](O)[C@H]3O[C@H]2O)OC[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O,-6.099999904632568,0.1884390974866471,432.33100000000013,-6.448199999999992,0.4278043597125475,repairer
O[C@@H]1O[C@H]2O[C@H](O)[C@H]2O[C@@H](O)[C@@H](O[C@@H]2O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)O2)O1,-6.699999809265137,0.24100226630376523,374.2510000000001,-5.280899999999993,0.4234541925404474,repairer
OC(O)C(C(O)O[C@H]1O[C@H](O)O[C@H]2O[C@H](O)[C@H]2O[C@H]1O)C1OC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO1,-7.0,0.15968802637199217,492.3830000000002,-6.9080999999999895,0.35918118792257053,repairer
OC(C1OC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO1)C1O[C@H](O)C(O)O[C@H](O)C(O)O[C@H](O)C(O)O[C@H]1O,-7.599999904632568,0.1640027030191218,510.39800000000014,-8.158799999999989,0.3901004318542565,repairer
OC(O)C(C(O)O[C@H]1O[C@H](O)O[C@H]2O[C@H](O)[C@H]2O[C@H]1O)C1OC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)OC1O,-7.099999904632568,0.15366382594066003,508.3820000000002,-7.589699999999989,0.3464931151676048,repairer
OC(O)C(C(O)O[C@H]1O[C@H](O)O[C@H]2O[C@H](O)[C@H]2O[C@H]1O)C1OC[C@H](O)[C@@H](O)[C@@H](O)C(C(O)O)O1,-6.5,0.1484579025250936,508.3820000000002,-7.589699999999989,0.3840189049216076,repairer
CC(O)C1OC(C(O)C2OC(C(O)C3OC(O)C(O)C4OC5C(O)C(O)C(OC(C(O)C4O)C(O)C3O)C5O)C(O)C2O)OCC(O)C(O)C1O,-5.099999904632568,0.12388942043557809,752.6690000000006,-11.458400000000015,0.23378567994942837,repairer
O[C@@H]1[C@H](O)[C@H](O)[C@H](O)[C@H](O)[CH]CCO[C@H](O)[C@H](O)[C@@H]1O,-5.800000190734863,0.2190946204048186,297.28,-4.544309999999993,0.48987802626312044,repairer
O[C@@H]1[C@H](O)[C@H](O)[C@H](O)C2[C@@H](COCO[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H]2O)O[C@H](O)[C@@H]1O,-6.400000095367432,0.17012562747542945,432.37500000000006,-7.10939999999999,0.46242534274948655,repairer
OC1CCO[C@H](O)O[C@H](O)[C@H](O)[C@H](O)[C@H](O)[C@@H]1O,-6.0,0.23145662771454598,270.23400000000004,-4.177899999999998,0.5065941521099881,repairer
O[C@@H]1[C@H](O)[C@@H](O)C(OC[C@H](O)[C@H](O)[C@H](O)C2C[C@@H](O)[C@@H](O)[C@@H](O)CO2)COC[C@@H]1O,-6.199999809265137,0.1839523932206413,444.4300000000002,-6.200299999999989,0.4886061325606191,repairer
CC1OC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)C(O)C1OC[C@H](O)[C@H](O)[C@H](O)[C@H]1O[C@H](O)O[C@H](O)O[C@H]1O,-5.900000095367432,0.1540981772663054,522.4530000000002,-7.659399999999986,0.3853605030774416,repairer
CC1OC[C@H](O)[C@H](O)[C@H](O)[C@H](O)C(O)C(O)C1OC[C@H](O)[C@H](O)[C@H](O)[C@H]1O[C@H](O)O[C@H](O)O[C@H]1O,-6.5,0.1540981772663054,522.4530000000002,-7.659399999999986,0.3853605030774416,repairer
