init_top40,bo_top40
-8.9,-9.600000381469728
-7.9,-9.100000381469728
-7.8,-9.100000381469728
-7.6,-8.899999618530273
-7.6,-8.899999618530273
-7.5,-8.600000381469727
-7.4,-8.300000190734863
-7.4,-8.300000190734863
-7.4,-8.300000190734863
-7.4,-8.199999809265137
-7.2,-8.100000381469727
-7.1,-8.100000381469727
-7.1,-8.0
-7.0,-8.0
-7.0,-8.0
-7.0,-7.900000095367432
-6.9,-7.800000190734863
-6.8,-7.800000190734863
-6.8,-7.800000190734863
-6.8,-7.800000190734863
-6.8,-7.699999809265137
-6.8,-7.699999809265137
-6.8,-7.699999809265137
-6.7,-7.599999904632568
-6.7,-7.599999904632568
-6.7,-7.5
-6.6,-7.5
-6.5,-7.5
-6.5,-7.400000095367432
-6.4,-7.400000095367432
-6.4,-7.300000190734863
-6.4,-7.300000190734863
-6.4,-7.300000190734863
-6.3,-7.199999809265137
-6.3,-7.199999809265137
-6.3,-7.199999809265137
-6.3,-7.199999809265137
-6.3,-7.199999809265137
-6.2,-7.199999809265137
-6.2,-7.099999904632568
