init_top20,bo_top20
-11.0,-12.399999618530272
-10.300000190734863,-12.199999809265137
-10.0,-11.899999618530272
-9.899999618530272,-11.699999809265137
-9.699999809265137,-11.399999618530272
-9.600000381469728,-11.300000190734863
-9.600000381469728,-11.0
-9.5,-10.899999618530272
-9.399999618530272,-10.899999618530272
-9.399999618530272,-10.800000190734863
-9.300000190734863,-10.800000190734863
-9.300000190734863,-10.699999809265137
-9.199999809265137,-10.600000381469728
-9.100000381469728,-10.300000190734863
-9.100000381469728,-10.300000190734863
-9.0,-10.100000381469728
-8.899999618530273,-10.100000381469728
-8.899999618530273,-10.0
-8.800000190734863,-10.0
-8.800000190734863,-9.800000190734863
