init_top20,bo_top20
-10.100000381469728,-11.300000190734863
-9.699999809265137,-11.199999809265137
-9.5,-11.0
-9.300000190734863,-10.899999618530272
-9.300000190734863,-10.699999809265137
-9.300000190734863,-10.699999809265137
-9.0,-10.600000381469728
-8.899999618530273,-10.600000381469728
-8.699999809265137,-10.600000381469728
-8.699999809265137,-10.600000381469728
-8.699999809265137,-10.399999618530272
-8.600000381469727,-10.300000190734863
-8.5,-10.300000190734863
-8.5,-10.300000190734863
-8.5,-10.300000190734863
-8.5,-10.199999809265137
-8.399999618530273,-10.199999809265137
-8.399999618530273,-10.199999809265137
-8.399999618530273,-10.199999809265137
-8.399999618530273,-10.100000381469728
