init_top50,bo_top50
-8.699999809265137,-7.900000095367432
-8.0,-7.699999809265137
-7.5,-7.699999809265137
-7.400000095367432,-7.5
-7.0,-7.400000095367432
-6.900000095367432,-7.300000190734863
-6.800000190734863,-7.300000190734863
-6.599999904632568,-7.099999904632568
-6.5,-7.099999904632568
-6.400000095367432,-7.0
-5.800000190734863,-7.0
-5.699999809265137,-7.0
-5.5,-6.900000095367432
-5.400000095367432,-6.900000095367432
-5.0,-6.900000095367432
-5.0,-6.900000095367432
-4.800000190734863,-6.900000095367432
-4.800000190734863,-6.900000095367432
-4.699999809265137,-6.900000095367432
-4.599999904632568,-6.800000190734863
-4.599999904632568,-6.800000190734863
-4.5,-6.800000190734863
-4.400000095367432,-6.699999809265137
-4.300000190734863,-6.699999809265137
-4.300000190734863,-6.699999809265137
-3.799999952316284,-6.699999809265137
-3.299999952316284,-6.699999809265137
-3.200000047683716,-6.699999809265137
-3.200000047683716,-6.599999904632568
-3.0999999046325684,-6.599999904632568
-3.0999999046325684,-6.599999904632568
-2.900000095367432,-6.599999904632568
-2.900000095367432,-6.5
-2.700000047683716,-6.400000095367432
-2.5999999046325684,-6.400000095367432
-2.200000047683716,-6.400000095367432
-2.0999999046325684,-6.400000095367432
-1.7999999523162842,-6.400000095367432
-0.6000000238418579,-6.300000190734863
-0.5,-6.300000190734863
-0.5,-6.300000190734863
-0.1000000014901161,-6.300000190734863
0.1000000014901161,-6.199999809265137
0.3000000119209289,-6.199999809265137
0.4000000059604645,-6.199999809265137
0.5,-6.199999809265137
0.5,-6.099999904632568
1.100000023841858,-6.099999904632568
2.0,-6.0
2.400000095367432,-6.0
