smiles,docking_score,qed,sascore,logp,mw
OC1CC(C2=C=C(C3CCCC3)COC=C2)C(C=C=C2C=C=CCC=C=C2)(c2ccccc2)C1,-12.1,0.5140443323098293,0.42210679066369705,6.788900000000005,448.6060000000002
O=C1C=CC2CC3=C(OC2CC1C=CC(Cl)CC1=C=CC2CCCCC2C=C=C2CC=CCC21)C(c1ccccc1)C=CC3,-18.1,0.19034723150756727,0.3269579507586434,10.037399999999995,603.2460000000003
CC(C)C=CCC1C(CO)CCC(C)(CCCCCC(C)C)C1O,-10.6,0.4030066821373579,0.576885701249147,5.580900000000007,338.5760000000001
CCCc1nc2c([nH]1)C1CC(c3cccc(CCCCC(C)CC)c3)C(CC=CCC(C)C)(CC2O)C1C,-12.1,0.20482803539134248,0.450191668468936,9.4442,518.8300000000005
C=C(CC)CCC(C)=C(C)CCCC1(C=O)C2CCCC2(C)C(C(C)C=CCC(C)C)C2(O)CCCC21,-10.8,0.19769799556473697,0.4552027429827101,9.6306,510.8470000000005
OC(O)(CC1=CCC=CC1)C1C=CC=CC(C2C=CC(Cl)C=CC2)=C1,-12.4,0.43357044837994474,0.47612233912154095,4.742100000000004,356.89300000000003
CCCCCCCC1CC2CCC3CCCC(CCC(C)CCCCC)C=C3C(F)C(C)(F)CCC1(O)C(C)CC2,-13.2,0.1701566334937761,0.37747065631792676,12.109999999999982,578.9570000000001
O=C1C2=C(C#COC=C3C(C4=CCC(OC5=CCC(O)=CC5)C=C4)COC3N1CCc1ccccc1)CCC2,-15.8,0.47925017693165445,0.42174596868218456,5.776800000000006,523.6290000000005
CCc1ccc(CC2(CC(=O)CCC3C=CCCCC3)C=C(F)OCC(C)C3CC(CCC4CCCCCC4)NC32)cc1N1CCC(C(C)C)C1,-13.7,0.1640997371432394,0.4600720462541094,11.32049999999999,703.084
C=CCCC=C=C(C=CCCC=C)CCCC=CC1C=CCCCC1C=Cc1ccc(C)cc1,-11.3,0.11390953843953615,0.5540844023419689,10.277319999999992,452.7260000000003
CCC(C)=CCC1=CCC(=CCC2C=CC=C2SC(C)C)C(C)C1CC=C=C(C)C,-12.5,0.2632595353596233,0.46255973045704507,9.354599999999998,422.72200000000026
Cc1ccc(C=CCCCCC(=C=C2CC=CC2)c2ccccc2)cc1,-11.2,0.27749131790949394,0.703961926178509,7.527520000000007,340.5100000000001
C=CC(C=C(C)CCCCC(C)(C)CCC=C=CCC)CO,-9.1,0.2578261742757386,0.5762513571893885,6.215300000000006,304.518
CCCCC=CCC(C#CCC(C)C(C)C)(CC=CO)C(CC)CCCCC(O)CC,-9.3,0.10445985369611767,0.5231035204421033,8.614200000000006,432.7330000000003
CCC1=CC(=C2CC(F)(C3CC4CC5=CCCCC5CCC4CCC3CO)CC(C)(CO)C(C)C2CC)CC(C(C)CC)=C1,-17.7,0.22292789951343256,0.4164151990275582,10.709999999999994,608.9670000000003
CCCC=CCCCCC12CCCC(CCCCC(C)C)CC(CC1)CC2,-10.6,0.23548241812361081,0.5532810064344557,9.486299999999998,374.69700000000023
CCC(O)CC(O)C1C(C)CC2CC(Cc3ccc(C)cc3)CC21,-11.0,0.813503837857161,0.5824499085433306,4.357820000000004,330.51200000000006
C=C(C)OCC=CC1CC(O)CC(C(C)=C=C2CCC(O)C2)CCCC(F)(F)C(O)C(C2C=C3CC(CC)CC=C3CC2)C1,-16.5,0.15236927693854918,0.3749894003184644,8.751900000000004,614.8580000000003
CCC1CC(CCC(C)C2CC(C(C)C(C)(C)C)C(O)C2C)CC1C=CCC(C)C,-11.4,0.3727283488647991,0.4837936736492579,8.372700000000009,418.7500000000001
CC(C)CC=CC1=C(O)CCC(CC2CCCC2)CCC1,-10.2,0.6074375764928224,0.662551484711001,6.561400000000007,290.49100000000004
CC(=CCCCCC(C)C)C1CC2CC(CCC(C)CCO)C(C)C(O)C2C1(C)C,-11.4,0.27297055690376626,0.5235466327153306,7.2432000000000105,420.7220000000002
COc1cccc(C2CCC3=C2C=CC=CC3c2ccccc2)c1,-12.2,0.6975956623142971,0.6619725632053612,5.779000000000005,314.4280000000001
CCCCCC(C)CCC1CCC2CC(CCC(CC(=O)CCCC)C2CCC)C1,-10.3,0.2566563906383762,0.5221740880435659,9.3813,418.75000000000034
C=CC=C(C)C1=CC2C(C=CC)CC(CCCC(C)C)CCC2C1,-11.6,0.3354135109148774,0.5425561196894897,7.499900000000007,326.5680000000001
O=C1CCC(c2ccccc2)=C(OO)C1C1CC2=C(c3ccccc3)C=CCC2C1,-14.3,0.4850693748695207,0.5933820175073441,6.306300000000006,398.5020000000001
CC1=CC2OC3=CC=CC(CCC=CC4=C(C5=CCC=CC5)C=CC=CC4)OC3=CC2C=C1,-13.6,0.4117859980428826,0.4694483425008061,7.665800000000007,436.5950000000002
CC(C=CC1CCCC1)C1CC(=C=C2C=CC=CC2)CCC1S(O)(O)CC1C=CC(C2=CCC=CC=C2)=C(F)C1,-15.1,0.2401193657090039,0.42922703226367787,10.49819999999999,560.8190000000002
O=C=CC=C(CCCc1ccccc1)C(CO)CCCCC1=CCC(F)=CC1,-10.2,0.2062405002593337,0.6046096222024816,6.066000000000005,382.5190000000002
CC(C)CCCC1CCC(C)C(C2=CC(C(C)C)C=C2)CC(C)C1,-11.5,0.4686417070696043,0.5728072457716544,7.659700000000008,330.6
CCCC1CC(C=C=CC(C)=C(C)C)C(O)C(CCC(O)CC)C1,-9.8,0.46016216210058025,0.5158271855242097,5.408500000000007,334.544
CC1CCC(C=CC2CCC(CCC3(C)CCCC3C)C2C(C)C)C1,-13.1,0.42969346578962736,0.5199947023592755,7.883700000000009,344.62700000000007
CCCC=CCCCCC=CC1C(O)C(C)CC2(CCC3CCCCC3)CCC1(C)C2,-11.6,0.25692105109804814,0.4754887348104175,9.013300000000003,428.74500000000035
CCCCCCCC1C(C)SC2CC(OC(C)CC)C(O)C(O)C21C(=O)O,-9.2,0.48127497063749614,0.5058477981888773,3.8472000000000026,402.59700000000015
CCc1cc(C)cc(CC2CCCC2(CCc2ccccc2)Cc2ccccc2)c1,-10.5,0.36476925159899204,0.6830163670517101,7.761920000000008,396.6180000000002
OOC1=CC(C(=CC2CCCC2)OC2=CCCC=C2)C(NC2=CC=CC(=C3C=CC=CC=C3)C=C2)C=C1,-12.4,0.21564399652629676,0.48818804789153153,7.817400000000007,493.64700000000016
C=NCOCC1C=CC(O)CC1C(C=CC1CC=CCC=N1)C(=O)C=C=CC1=CCc2ccccc2C=C1,-12.9,0.14591481428166334,0.4100714900565345,5.652400000000006,508.6620000000002
CCC(C)CCCC1CC2CCC(CC=CC(C)(C)C)CC(CC2)C1,-12.0,0.4056880412826408,0.5117624196317683,8.417900000000007,346.64300000000014
CCCCC1=CCC=CC1CCC1(C)CC(c2ccccc2)C(=O)C2CCC(O)C=C21,-11.8,0.4880007534912568,0.5202345126894926,6.919500000000008,418.62100000000015
