0,1,2,3,4
CC(=O)N1C(=O)N(C2=NC(=O)N(C3CC(C(C(O)C(C(C(O)C3OP(=O)(O)O)OP(=O)(O)O)C)O)C)C)C2=N1,C1=NC(=O)C2=NC(=O)N(C3C(C(C(O3)C)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C)C2=N1,CC(=O)N1C(=O)N(C2=NC(=O)N(C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CO)C2=N1)C)C,CC(=O)N1C(=O)N(C2=C(C(=O)N(C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)C)C)C)C=N1,CC(=O)N1C(=O)N(C2=NC(=O)N1C3=C(C(C(C(O3)C)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)C)N2
CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1,CC(=O)Nc1ccc(cc1)C(F)(F)FCC1CCNc2nnc(c3ccccc23)C3ccccc3CC1,CN(C(=O)c1ccc(cc1)C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1,CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1,CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1
COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,CC(F)C1Nc2ccccc2N(C3CCN(C(N(C(C(N3)C)C)C)C)C)C1S,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(c2c(c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1
COCc1cccc(c2c(c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(c2c(c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1
COCc1cccc(c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,C1=CC=CC=C1C2=CC=CC=C2C3=CC=CC=C3C4=C(C(N)C(N)C5=C(C=CC(=O)N5)N)C6=C(C=CC(=O)N6)C2=C1=O,COCc1cccc(c2c(c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1
COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(c2c(c3ccc4nccnc4c3)n(C)n(C)c2=O)c1
CO[C@H]1C[C@H](C)Cc2cc(O)cc(c2)NC(=O)C/C(=C/)CC[C@H](C)[C@@H](OC(N)=O)C/C(=C/[C@H](C)[C@H]1O),CC(=O)Oc1ccc(cc1)Nc2ccc(cc2)C(=O)C(C)C[C@H]3C[C@H](C)C[C@H]3O[C@H]4C[C@H](C)[C@H](C)C[C@H]4O,CC(=O)N1CCC2=CC=CC=C2N(C(C)C)C(C(=O)N)C3=CC=CC=C3C(C)C(C)C(C(=O)O)C(C)C(C)C(C(=O)N)C(C)C(C)C(C)C(C)C(C)C(C)C,CC(=O)N1CCC2=CC=CC=C2OC1C(C)CC3=CC=CC=C3C(C)C(=O)NCC(=O)C(C)C(C)C(C)C(C)C(=O)NCC(=O)C(C)C,CC(=O)Nc1ccc(cc1)C(=O)Nc2ccc(cc2)C(C)C[C@H]3C[C@H](C)C(=O)Nc4ccc(cc4)C(C)C[C@@H]3O[C@H](C)C(=O)Nc5ccc(cc5)C(C)C
C1Ncnc2c1ncn2[C@@H]1OC(CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@H]1O,CC(=O)N1C=NC2=C1N=CN2[C@H]1O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,CC(=O)N1C=NC2=C1N(C2)C1C(=O)N(C1)C1C(=O)N(C1)C1C(=O)N(C1)C1C(=O)N(C1)C1C(=O)N(C1)C1C(=O)N(C1)C1C(=,C1NC2CC1C(NC2=O)C1CC(CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)C1[C@H](O)[C@H]1,C1NC1C2NC1CC2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1
C1=CC=CC(C(=O)Nc2c(ccc2Nc3c(ccc4nccnc4c3)C)C)c1C,COCc1cccc(c2c(c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(-c2c(-c3ccc4nccnc4c3)n(C)n(C)c2=O)c1,COCc1cccc(c2c(c3ccc4nccnc4c3)n(C)n(C)c2=O)c1
C1c2nnc(N3CCN(C4Nc5c(cc(C(F)(F)F)cc45)CC3)CC2)s1,C1c2nnc(N3CCN(c4ncnc5c(cc(F)(F)F)cc45)CC3)CC2)s1,CN(C)c1ccc(-c2c(N)ncnc2C#Cc2ccc(N3CCOCC3)nc2)cc1,CC(F)C1Nc2c(N(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C,CN(C)c1ccc(cc2c(N)ncnc2C#Cc2ccc(N3CCOCC3)nc2)cc1
